,priceCashFlowRatio,priceEarningsRatio,priceEarningsToGrowthRatio,priceBookValueRatio,currentRatio,quickRatio,payoutRatio,Class
480,8.995288382724599,12.5847,11.863818333084,3.4997,1.733,0.086796651334446,0.226,1
481,1.1601961046715,0.0,47.51407396171606,0.0,1.484,1.0652173913043,0.0,0
484,24.200124937861,19.15,18.456126411754,0.0,0.928,0.6556495003843199,0.3,1
485,21.337377518018002,18.0167,17.891382711774,5.2307,1.703,0.4248382035693301,0.174,1
489,22.86887651441,29.4094,29.35141008306,1.6362,2.764,0.97994913110981,0.0,1
490,11.227888907126,16.8298,16.800452934742,2.1255,1.435,0.75,0.0,1
491,10.288515043532,19.1138,19.104321857496,5.0513,1.077,0.13597419354839002,0.0,0
492,1.6684131553861,15.7248,15.767255855856,0.0,1.202,0.7793621985999499,0.0,1
494,2.2284913424331,7.6296,7.3224379026898,0.7055,0.94518349892896,0.054247389596326,0.189,1
495,10.204580983437001,0.0,47.51407396171606,1.8158,4.178,2.9840282451692004,0.0,1
497,7.245825242718401,0.0,47.51407396171606,0.0,1.177,0.58964249916472,0.0,1
498,3.3762732687206,7.7029,7.6036316032234,3.7845,1.976,1.9065681727538,0.205,1
499,8.1419100623652,21.309,21.104524864852,2.9584,0.941,1.1608231707316998,0.613,1
502,9.5176625765131,0.0,47.51407396171606,1.4248,1.4480000000000002,1.0391230530745,0.0,0
505,10.255840611026,14.5388,14.207141696473,2.4409,1.744,1.0799881786424002,0.327,1
507,13.196221765809,15.9636,15.251638181829,1.7421,2.958,2.3623902345904,0.64,1
508,27.522901403516997,20.125,19.851284211837,1.5233,1.5319999999999998,0.9051128032466,0.525,0
509,5.9447952049007,7.9084,7.6131512475132,0.8505,2.772,2.6698242723778,0.534,1
510,14.071379002111001,14.5855,14.385307405046001,3.4285,1.386,1.2201101069908,0.117,0
511,6.5851827498454,9.5569,9.4082749842699,1.7643,1.818,0.92328471096704,0.301,1
513,7.3050572864322,30.8281,30.86425477707,0.0,2.431,2.1836969001148,0.0,1
514,9.2827764276148,9.0265,8.9493418006808,0.0,0.8953610045343601,0.87778165329613,0.402,1
515,16.678786832061,21.6513,21.526316009852,4.4589,2.087,1.2849083215797,0.24,1
516,9.6470158817708,29.7297,29.544465421304,1.4116,2.685,1.0482111996186,0.0,0
517,9.243995646538,39.0909,38.95583498673,0.9062,1.39,1.2138379550176002,0.0,0
518,11.346578688016,0.0,47.51407396171606,2.5058,1.215,1.0461301500725,0.0,1
519,12.351130150959001,11.9959,11.802191033138001,2.8171,1.406,0.7276643990929701,0.229,1
520,15.256069962618,23.0389,22.889006383006002,2.1776,1.736,0.72217095646648,0.247,1
